Date,Day,Destination_Location,Fastest_Route_Distance,Fastest_Route_Name,Fastest_Route_Time,Holiday,Special_Condition,Starting_Location,Sys_Time,Weather,Data_prediction
13/02/2020,Thursday,9th_avenue,1000,Jinnah Avenue,60,no,no,capital_gymkhana,00:00:01,Showers,smooth
13/02/2020,Thursday,centaurus,1300,Jinnah Avenue,120,no,no,9th_avenue,00:00:09,Showers,highly congested
13/02/2020,Thursday,crown_plaza,1000,Jinnah Avenue and Faisal Avenue Flyover,60,no,no,centaurus,00:00:17,Showers,smooth
13/02/2020,Thursday,roshan_plaza,2700,Jinnah Ave,180,no,no,crown_plaza,00:00:24,Showers,smooth
13/02/2020,Thursday,salt_and_pepper,3900,Jinnah Ave,300,no,no,roshan_plaza,00:00:31,Showers,slightly congested
13/02/2020,Thursday,bar_bq_tonight,1600,Jinnah Ave,120,no,no,salt_and_pepper,00:00:39,Showers,smooth
13/02/2020,Thursday,D_chowk,2100,A.K. Fazl-ul-Haq Rd and Jinnah Ave,300,no,no,bar_bq_tonight,00:00:45,Showers,slightly congested
13/02/2020,Thursday,childrens_park,1000,Nazim-ud-din Rd,120,no,no,bahria_foundation_school,00:02:12,Showers,highly congested
13/02/2020,Thursday,pak_turk_maarif_international_school,1000,Nazim-ud-din Rd,120,no,no,childrens_park,00:02:20,Showers,highly congested
13/02/2020,Thursday,jamia_masjid,1400,Nazim-ud-din Rd,120,no,no,pak_turk_maarif_international_school,00:02:29,Showers,smooth
13/02/2020,Thursday,missile_chowk,1200,Nazim-ud-din Rd,120,no,no,jamia_masjid,00:02:37,Showers,smooth
13/02/2020,Thursday,capital_gymkhana,1100,Jinnah Avenue,60,no,no,missile_chowk,00:02:45,Showers,smooth
13/02/2020,Thursday,9th_avenue,1000,Jinnah Avenue,120,no,no,capital_gymkhana,00:02:54,Showers,highly congested
13/02/2020,Thursday,centaurus,1300,Jinnah Avenue,120,no,no,9th_avenue,00:03:02,Showers,highly congested
13/02/2020,Thursday,crown_plaza,1000,Jinnah Avenue and Faisal Avenue Flyover,60,no,no,centaurus,00:03:10,Showers,smooth
13/02/2020,Thursday,roshan_plaza,2700,Jinnah Ave,180,no,no,crown_plaza,00:03:17,Showers,smooth
